** Black **|0,06198823#0,06401297#0,06603771#1
** White **|1#1#1#1
Archs Background|0,1203275#0,1295123#0,1509434#1
House Shape (Backg. 2)|0,2392157#0,2429686#0,2627451#1
House Shape (Backg. 3)|0,372864#0,387764#0,4622642#1
Lightly Dark Things|0,7768779#0,7768779#0,8113208#1
Lightly Dark Things (Backg.)|0,6459594#0,6567892#0,7169812#1
Lighty Dark Things (Liiiightly)|0,9395693#0,9395693#0,9622642#1
Park Bricks|0,6320754#0,5859334#0,5575382#1
Park Bricks (Backg.)|0,6132076#0,5596429#0,5293254#1
Park Bricks (Dark)|0,3679245#0,3459416#0,3349501#1
Park Bricks (Dark) (Backg.)|0,4528302#0,4400142#0,4336063#1
Park Fences (Back)|0,6837842#0,6895692#0,735849#1
Park Shape|0,5849056#0,5679282#0,5545567#1
Park Shape (Backg.)|0,5137255#0,5215687#0,5490196#1
Park Shape (Dark)|0,3301887#0,3247375#0,3192862#1
Park Shape (Dark) (Backg.)|0,3700605#0,3790673#0,4150943#1
Penthouse (Blue)|0,4431373#0,4437964#0,6901961#1
Penthouse (Blue)|0,4392157#0,5498202#0,7529412#1
Penthouse (Blue) (Backg.)|0,3475881#0,5480969#0,6886792#1
Penthouse (Green)|0,2756764#0,5566038#0,3469361#1
Penthouse (Pink) (Backg.)|0,6901961#0,3490196#0,6784225#1
Penthouse (Purple)|0,5097556#0,3161267#0,6037736#1
Penthouse (Purple) #2|0,6398569#0,4450427#0,6886792#1
Penthouse (Purple) (Backg.)|0,3799536#0,3490196#0,6901961#1
Roof|0,6132076#0,4400376#0,373131#1
Roof (Back)|0,5377358#0,3956463#0,3373531#1
Roof (Backg. 1)|0,4056604#0,340219#0,2965913#1
Roof (Backg. 2)|0,2392157#0,2431373#0,2627451#1
Roof (Backg. 3)|0,372549#0,3882353#0,4627451#1
Sewer Drains|0,6509434#0,6446739#0,623309#1
Sewer Drains (Backg.)|0,5119705#0,5329744#0,5566038#1
Smokestacks|0,3664812#0,3613386#0,3773585#1
Smokestacks (Backg.)|0,3048238#0,3328052#0,4716981#1
Tower Floor|0,5633678#0,5633678#0,5660378#1
Trees (Background)|0,3703721#0,3703721#0,3867925#1
Wall Bricks|0,4156863#0,4470588#0,5019608#1
Wall Bricks (Backg.)|0,3264062#0,3607489#0,4245283#1
Wall Textures #1|0,2784314#0,3234078#0,3686275#1
Wall Textures #2|0,3287716#0,2794144#0,3679245#1
Wall Textures (Backg.)|0,3048035#0,2261481#0,3962264#1
Water|0,4390797#0,5807492#0,6509434#1
Windows #1|0,4327163#0,4522184#0,490566#1
Windows #2|0,4528302#0,3246256#0,2798149#1
Windows (Back)|0,3583125#0,3772398#0,4150943#1
Windows (Backg. 1)|0,3490566#0,2997051#0,2980153#1
Windows (Backg. 2)|0,2912514#0,2977409#0,3301887#1
Windows (Backg. 3)|0,4568352#0,4725455#0,5471698#0,7137255
Windows (Backstreet)|0,2516465#0,2589593#0,2735849#1
Wooden Planks (Back)|0,3396226#0,2421146#0,2066572#1
Wooden Planks (Dark)|0,245283#0,1554744#0,1029726#1
Wooden Planks (Dark) (Backg.)|0,2641509#0,1852116#0,1383054#1
Wooden Planks (Light)|0,3584906#0,2392831#0,2046102#1
Wooden Planks (Light) (Backg.)|0,3411765#0,2745098#0,2392157#1
